date_started,date_ended,title,author,pages,category,subcategory,country,my_rating,publication_year
-,2002-01-01,The Great Beast: Sinister Life of Aleister Crowley,John Symonds,464,non-fiction,religion,,3,1951
-,2002-01-01,120 Days of Sodom: Adapted for the Stage by Nick Hedges from the Novel by the Marquis de Sade,Nick Hedges,90,fiction,literature,France,4,1991
-,2002-01-01,Self Made Man,Poppy Z. Brite,180,fiction,literature,USA,4,1999
-,2002-01-01,A Certain Age,Rebbecca Ray,416,fiction,literature,UK,4,1998
-,2002-01-01,Le boucher,Alina Reyes,89,fiction,literature,France,3,1988
-,2002-01-01,Hideous Kinky,Esther Freud,192,fiction,literature,UK,3,1992
-,2002-01-01,The Harvest,Christopher  Hart,235,fiction,literature,UK,4,1999
-,2002-01-01,The Diary of a Young Girl,Anne Frank,283,non-fiction,war,,4,1947
-,2002-01-01,The Long Hard Road Out of Hell,Marilyn Manson,275,non-fiction,music,,4,1998
-,2002-01-01,The Liar,Stephen Fry,390,fiction,comedy,UK,2,1991
-,2002-01-01,Like Being Killed,Ellen  Miller,352,fiction,literature,USA,4,1998
-,2002-01-01,Godless Pilgrim,Andrew Dowling,256,non-fiction,religion,,4,2000
-,2002-01-01,Lost Souls,Poppy Z. Brite,356,fiction,literature,USA,5,1992
-,2002-01-01,The Blooding,Joseph Wambaugh,432,non-fiction,other,,3,1989
-,2002-01-01,Modern Nature,Derek Jarman,320,non-fiction,nature,,4,1991
-,2002-01-01,Koran,Anonymous,604,non-fiction,religion,,3,650
-,2002-01-01,Revelation: St. John the Divine's Prophecies for the Apocalypse and Beyond,Peter Lorie,224,non-fiction,religion,,2,1995
-,2002-01-01,Holy Bible: King James Version,Anonymous,1590,non-fiction,religion,,3,1611
-,2002-01-01,Queer,William S. Burroughs,160,fiction,literature,USA,4,1985
-,2002-01-01,Existentialism and Humanism,Jean-Paul Sartre,80,non-fiction,philosophy,,5,1946
-,2002-01-01,Waiting for Godot,Samuel Beckett,109,fiction,existential fiction,Ireland,4,1952
-,2002-01-01,The Importance of Being Earnest,Oscar Wilde,76,fiction,literature,Ireland,3,1895
-,2002-01-01,How to Have a Lifestyle,Quentin Crisp,188,non-fiction,other,,3,1975
-,2002-01-01,Lord of the Flies,William Golding,182,fiction,literature,UK,5,1954
