date,time,distance,location,date_added,average_time_per_km,,,,
11/04/2017,00:14:15,2,Southwater,11/01/2024,00:07:07,,,,
25/04/2017,00:13:23,2,Southwater,11/01/2024,00:06:42,,,,
19/06/2017,00:13:20,2,Southwater,11/01/2024,00:06:40,,,,
04/07/2017,00:12:41,2,Southwater,11/01/2024,00:06:20,,,,
10/07/2017,00:12:22,2,Southwater,11/01/2024,00:06:11,,,,
21/12/2017,00:12:55,2,Southwater,11/01/2024,00:06:28,,,00:28:34,00:05:57
13/01/2018,00:12:46,2,Southwater,11/01/2024,00:06:23,,,4.79,
18/01/2018,00:11:26,2,Southwater,11/01/2024,00:05:43,,,0.958,
26/01/2018,00:12:26,2,Southwater,11/01/2024,00:06:13,,,0.042,
24/02/2018,00:19:16,3,Southwater,11/01/2024,00:06:25,,,00:01:12,
26/03/2018,00:24:34,2,Madeira,11/01/2024,00:12:17,,,00:29:46,
06/04/2018,00:33:05,5,Southwater,11/01/2024,00:06:37,,,,
23/04/2018,00:33:58,5,Southwater,11/01/2024,00:06:48,,,,
19/05/2018,00:41:00,6,Horsham ,11/01/2024,00:06:50,,,,
23/05/2018,00:45:11,7,Horsham ,11/01/2024,00:06:27,,,00:29:20,00:06:12
28/05/2018,00:53:09,8,Horsham ,11/01/2024,00:06:39,,,4.72,
03/06/2018,01:02:57,10,Worthing 10k,11/01/2024,00:06:18,,,0.944,
10/06/2018,01:16:07,12,Horsham ,11/01/2024,00:06:21,,,0.056,
16/06/2018,01:26:53,14,Horsham ,11/01/2024,00:06:12,,,00:01:39,
29/06/2018,00:45:27,7,Horsham ,11/01/2024,00:06:30,,,00:30:59,
06/08/2018,01:04:15,10,Horsham ,11/01/2024,00:06:26,,,,
02/09/2018,00:31:12,5,Horsham ,11/01/2024,00:06:14,,,00:30:25,00:06:12
10/09/2018,01:05:01,10,Horsham ,11/01/2024,00:06:30,,,4.9,
16/09/2018,01:20:56,12,Horsham ,11/01/2024,00:06:45,,,0.98,
29/09/2018,01:35:21,14,Horsham ,11/01/2024,00:06:49,,,0.02,
07/10/2018,01:45:18,16,Brighton 10 miles,11/01/2024,00:06:35,,,00:00:36,
23/10/2018,00:48:56,8,Horsham ,11/01/2024,00:06:07,,,00:31:02,
12/12/2018,01:09:22,10,Dungeness ,11/01/2024,00:06:56,,,,
09/03/2019,00:30:25,4,Horsham Park Run,11/01/2024,00:07:36,,,,
16/03/2019,00:29:20,4,Horsham Park Run,11/01/2024,00:07:20,,,,
23/03/2019,00:28:34,4,Horsham Park Run,11/01/2024,00:07:09,,,,
13/05/2019,00:53:27,8,Horsham ,11/01/2024,00:06:41,,,,
19/07/2019,00:56:14,8,Horsham ,11/01/2024,00:07:02,,,,
27/10/2019,00:31:37,5,Horsham ,11/01/2024,00:06:19,,,,
29/02/2020,00:19:42,3,Horsham ,11/01/2024,00:06:34,,,,
03/03/2020,00:33:00,5,Horsham ,11/01/2024,00:06:36,,,,
06/03/2020,00:45:41,7,Horsham ,11/01/2024,00:06:32,,,,
12/03/2020,01:07:10,10,Horsham ,11/01/2024,00:06:43,,,,
17/03/2020,01:23:13,12,Horsham ,11/01/2024,00:06:56,,,,
24/03/2020,01:39:29,14,Horsham ,11/01/2024,00:07:06,,,,
30/03/2020,01:54:40,17,Horsham ,11/01/2024,00:06:45,,,,
07/04/2020,02:27:25,21,Horsham ,11/01/2024,00:07:01,,,,
16/04/2020,01:20:39,12,Horsham ,11/01/2024,00:06:43,,,,
16/04/2020,00:22:28,3,Horsham ,11/01/2024,00:07:29,,,,
23/04/2020,03:44:16,30,Horsham ,11/01/2024,00:07:29,,,,
21/05/2020,01:10:39,10,Horsham ,11/01/2024,00:07:04,,,,
09/09/2020,00:20:19,3,Horsham ,11/01/2024,00:06:46,,,,
20/09/2020,00:41:50,6,Horsham ,11/01/2024,00:06:58,,,,
29/09/2020,01:10:40,10,Horsham ,11/01/2024,00:07:04,,,,
15/10/2020,01:47:01,15,Horsham ,11/01/2024,00:07:08,,,,
23/10/2020,01:32:12,13,Horsham ,11/01/2024,00:07:06,,,,
30/03/2021,00:19:21,3,Horsham ,11/01/2024,00:06:27,,,,
04/04/2021,00:40:33,6,Horsham ,11/01/2024,00:06:45,,,,
12/04/2021,01:07:45,10,Horsham ,11/01/2024,00:06:46,,,,
23/04/2021,01:53:14,15,Horsham ,11/01/2024,00:07:33,,,,
24/07/2021,00:34:09,5,Horsham ,11/01/2024,00:06:50,,,,
28/07/2021,01:09:58,10,Horsham ,11/01/2024,00:07:00,,,,
13/08/2021,00:39:10,6,Pafos ,11/01/2024,00:06:32,,,,
21/08/2021,00:31:38,5,Parekklisia ,11/01/2024,00:06:20,,,,
30/08/2021,01:02:06,10,Horsham ,11/01/2024,00:06:13,,,,
31/12/2021,00:31:02,5,Horsham ,11/01/2024,00:06:12,,,,
05/01/2022,01:04:18,10,Horsham ,11/01/2024,00:06:26,,,,
16/01/2022,00:42:15,7,Horsham ,11/01/2024,00:06:02,,,,
20/03/2022,00:31:36,5,Horsham ,11/01/2024,00:06:19,,,,
20/04/2022,00:30:03,5,Horsham ,11/01/2024,00:06:01,,,,
24/04/2022,01:00:27,10,Horsham ,11/01/2024,00:06:03,,,,
27/05/2022,00:17:41,3,Horsham ,11/01/2024,00:05:54,,,,
07/08/2022,00:29:13,5,Horsham ,11/01/2024,00:05:51,,,,
13/08/2023,00:30:53,5,Horsham ,11/01/2024,00:06:11,,,,
28/07/2023,00:18:23,3,Horsham ,11/01/2024,00:06:08,,,,
16/03/2023,00:31:18,5,Horsham ,11/01/2024,00:06:16,,,,
28/12/2023,01:09:56,10,Horsham ,11/01/2024,00:07:00,,,,
21/12/2023,00:31:40,5,Horsham ,11/01/2024,00:06:20,,,,
