trip_name,date_start,date_end,place,place_country,place_continent,lat,lon,date_added
2007 Jun France,06/06/2007,08/06/2007,Paris,France,Europe,48.856613,2.352222,12/01/2024
2008 Mar Belgium,09/03/2008,11/03/2008,Brussels,Belgium,Europe,50.850346,4.351721,12/01/2024
2008 Jun Scotland,07/06/2008,08/06/2008,Edinburgh,Scotland,Europe,55.953251,-3.188267,12/01/2024
2008 Sep Wales,19/09/2008,21/09/2008,Snowdonia,Wales,Europe,53.068483,-4.076177,12/01/2024
2009 Mar Holland,03/03/2009,05/03/2009,Amsterdam,Holland,Europe,52.373169,4.89066,12/01/2024
2010 Jun Portugal,04/06/2010,09/06/2010,Algarve,Portugal,Europe,37.053757,-7.931937,12/01/2024
2011 Mar Spain,19/03/2011,21/03/2011,Madrid,Spain,Europe,40.416775,-3.70379,12/01/2024
2011 Sep Spain,09/09/2011,12/09/2011,Torremolinos,Spain,Europe,36.624319,-4.499792,12/01/2024
2011 Dec Ireland,02/12/2011,04/12/2011,Dublin,Ireland,Europe,53.349804,-6.26031,12/01/2024
2012 Jan Germany,28/01/2012,30/01/2012,Berlin,Germany,Europe,52.520008,13.404954,12/01/2024
2012 Feb England Lake District,15/02/2012,19/02/2012,Lake District,England,England,54.347764,-2.936579,12/01/2024
2012 Feb Italy,19/02/2012,24/02/2012,Rome,Italy,Europe,41.902782,12.496365,12/01/2024
2012 Jun Greece,24/06/2012,01/07/2012,Corfu,Greece,Europe,39.591337,19.859619,12/01/2024
2012 Jun England Cornwall,02/06/2012,05/06/2012,Cornwall,England,England,50.3609,-4.744299,12/01/2024
2012 Sep Sweden & Denmark,22/09/2012,24/09/2012,Malmo,Sweden,Europe,55.60331,13.00131,12/01/2024
2012 Sep Sweden & Denmark,22/09/2012,24/09/2012,Copenhagen,Denmark,Europe,55.676098,12.568337,12/01/2024
2012 Dec Hungary,09/12/2012,11/12/2012,Budapest,Hungary,Europe,47.497913,19.040236,12/01/2024
2013 Mar England Bristol,30/03/2013,01/04/2013,Bristol,England,England,51.455311,-2.5919,12/01/2024
2013 Apr Morocco,12/04/2013,15/04/2013,Marrakech,Morocco,Africa,31.629473,-7.981084,12/01/2024
2013 Jul Belgium,14/07/2013,14/07/2013,Bruges,Belgium,Europe,51.209419,3.2252,12/01/2024
2013 Aug Greece,24/08/2013,02/09/2013,Athens,Greece,Europe,37.98381,23.727539,12/01/2024
2013 Aug Greece,24/08/2013,02/09/2013,Milos,Greece,Europe,36.743889,24.42326,12/01/2024
2013 Aug Greece,24/08/2013,02/09/2013,Kythnos,Greece,Europe,37.391223,24.426028,12/01/2024
2013 Aug Spain,07/08/2013,09/08/2013,Barcelona,Spain,Europe,41.385063,2.173404,12/01/2024
2013 Sep Wales,22/09/2013,22/09/2013,Aberaeron,Wales,Europe,52.243176,-4.260015,12/01/2024
2013 Nov England New Forest,16/11/2013,17/11/2013,New Forest,England,England,50.855626,-1.595661,12/01/2024
2014 Dec Italy,24/12/2014,27/12/2014,Venice,Italy,Europe,45.440845,12.315515,12/01/2024
2014 Mar Malaysia,07/03/2014,23/03/2014,Kuala Lumpur,Malaysia,Asia,3.139003,101.686852,12/01/2024
2014 Mar Malaysia,07/03/2014,23/03/2014,Sabah,Malaysia,Asia,5.74225,117.305069,12/01/2024
2014 Mar Malaysia,07/03/2014,23/03/2014,Sarawak,Malaysia,Asia,1.553278,110.359215,12/01/2024
2014 Apr Canada,21/04/2014,01/05/2014,Toronto,Canada,North America,43.653225,-79.383186,12/01/2024
2014 May Czech Republic,23/05/2014,26/05/2014,Prague,Czech Republic,Europe,50.075539,14.4378,12/01/2024
2014 May England Isle of Wight,04/05/2014,05/05/2014,Isle Of Wight,England,England,50.671048,-1.332711,12/01/2024
2014 May England Northumberland,16/05/2014,18/05/2014,Northumberland,England,England,55.621867,-1.620056,12/01/2024
2014 May Scotland,17/05/2014,17/05/2014,St Abbs,Scotland,Europe,55.898398,-2.130787,12/01/2024
2014 Aug Greece,07/08/2014,14/08/2014,Zakynthos,Greece,Europe,37.782505,20.895033,12/01/2024
2014 Nov Slovakia & Austria,20/11/2014,24/11/2014,Bratislava,Slovakia,Europe,48.148598,17.107748,12/01/2024
2014 Nov Slovakia & Austria,20/11/2014,24/11/2014,Vienna,Austria,Europe,48.208176,16.373819,12/01/2024
2014 Nov England Peak District,09/11/2014,09/11/2014,Peak District,England,England,53.315827,-1.727034,12/01/2024
2015 Jan Iceland,29/01/2015,02/02/2015,Rejkavik,Iceland,Europe,64.126518,-21.817438,12/01/2024
2015 Feb Ireland,26/02/2015,28/02/2015,County Clare,Ireland,Europe,52.971882,-9.42651,12/01/2024
2015 Mar Malta,06/03/2015,10/03/2015,Malta,Malta,Europe,35.898907,14.514553,12/01/2024
2015 May Spain,14/05/2015,22/05/2015,La Palma,Spain,Europe,28.68326,-17.76396,12/01/2024
2015 Aug Switzerland,26/08/2015,31/08/2015,Geneva,Switzerland,Europe,46.204391,6.143158,12/01/2024
2015 Aug Switzerland,26/08/2015,31/08/2015,Zermatt,Switzerland,Europe,46.020714,7.749117,12/01/2024
2015 Aug Switzerland,26/08/2015,31/08/2015,Basel,Switzerland,Europe,47.559601,7.588576,12/01/2024
2015 Aug Switzerland,26/08/2015,31/08/2015,Bern,Switzerland,Europe,46.948,7.44813,12/01/2024
2015 Oct Bosnia & Croatia,03/10/2015,07/10/2015,Mostar,Bosnia,Europe,43.33727,17.8158,12/01/2024
2015 Oct Bosnia & Croatia,03/10/2015,07/10/2015,Dubrovnik,Croatia,Europe,42.6419,18.10649,12/01/2024
2015 Nov England Manchester,21/11/2015,22/11/2015,Manchester,England,England,53.480759,-2.242631,12/01/2024
2015 Dec Bulgaria,28/12/2015,31/12/2015,Sofia,Bulgaria,Europe,42.697708,23.321867,12/01/2024
2015 Dec Scotland,05/12/2015,06/12/2015,Aberdeen,Scotland,Europe,57.14748,-2.0954,12/01/2024
2016 Jan Poland,29/01/2016,02/02/2016,Krakow,Poland,Europe,50.05481,19.927839,12/01/2024
2016 Feb England York & Whitby,26/02/2016,28/02/2016,York,England,England,53.959965,-1.087298,12/01/2024
2016 Feb England York & Whitby,26/02/2016,28/02/2016,Whitby,England,England,54.48508,-0.61707,12/01/2024
2016 Apr Greece,30/04/2016,04/05/2016,Santorini,Greece,Europe,36.418632,25.431732,12/01/2024
2016 Apr England Stratford,21/04/2016,22/04/2016,Stratford Upon Avon,England,England,52.19157,-1.70699,12/01/2024
2016 Apr England Minsmere,02/04/2016,02/04/2016,Minsmere,England,England,52.283873,1.634137,12/01/2024
2016 Jun Greece,29/06/2016,04/07/2016,Athens,Greece,Europe,37.98381,23.727539,12/01/2024
2016 Jun Greece,29/06/2016,04/07/2016,Kefalonia,Greece,Europe,38.17813,20.48561,12/01/2024
2016 Aug Romania,18/08/2016,21/08/2016,Bucharest,Romania,Europe,44.426765,26.102537,12/01/2024
2016 Aug England Dorset,13/08/2016,14/08/2016,"Lulworth, Dorset",England,England,50.62623,-2.24636,12/01/2024
